Pedido,Data,Total_custo,Valor_liquido,Forma_pagamento,Cliente,Lucro,Percentual_lucro
21062,2020-02-20 00:00:00,2651.4,2651.4,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,921.94,0.34771818661839027
21063,2020-02-20 00:00:00,369.6,352,DINHEIRO,RODRIGO AURELIO,155.96,0.44306818181818186
21064,20/02/20/20,935.4,935.4,DEBITO,LUIZ,456.24,0.48774855676715845
21065,2020-02-20 00:00:00,10,10,DINHEIRO,20 ESTRIBOS 9X20,5.6,0.5599999999999999
21066,2020-02-20 00:00:00,635.93,635.93,CHEQUE,AABM,253.76,0.39903762992782227
21067,2020-02-21 00:00:00,262.95,250,DEBITO,DIORGENES / CA,75.35,0.3014
21068,2020-02-21 00:00:00,28,28,DINHEIRO,04 SARRAFOS 10CM,11.32,0.4042857142857143
21069,2020-02-21 00:00:00,1696,1532,DINHEIRO,WILLIAM,525.64,0.3431070496083551
21070,2020-02-21 00:00:00,149.5,149.5,DINHEIRO,5 BARRAS 3/8,37.0,0.24749163879598662
21071,2020-02-21 00:00:00,596,596,CREDITO 3 X ,GIVANILDO,243.23,0.40810402684563757
21072,2020-02-22 00:00:00,114.4,114.4,TRANSFER BRADESCO,ALFA,45.52,0.3979020979020979
21073,2020-02-22 00:00:00,338.63,338.63,CHEQUE,AABM,137.0,0.4045713610725571
21074,2020-02-22 00:00:00,33,33,CREDITO 3 X ,GIVANILDO - 11 METROS FERRO 3/8,12.37,0.3748484848484848
21075,2020-02-26 00:00:00,193.05,193.05,TRANSFER BRADESCO,ALFA,76.82,0.3979279979279979
21076,2020-02-26 00:00:00,431.95,410,DEBITO,GIVANILDO,155.81,0.38002439024390244
21077,2020-02-26 00:00:00,5,5,DINHEIRO,01 CX 25CM,3.67,0.734
21078,2020-02-26 00:00:00,101.15,100,DINHEIRO,"01 SAP 60X50 3/8 6F / 01 3/8 9X15 3,50M",43.42,0.43420000000000003
21079,2020-02-26 00:00:00,98.45,98.45,DEBITO,TOME,49.12,0.49893346876587097
21080,2020-02-26 00:00:00,35,35,DINHEIRO,02 TAB 15 E 01 25CM,12.75,0.36428571428571427
21081,2020-02-26 00:00:00,53,53,DINHEIRO,02 B 1/4,23.0,0.4339622641509434
21082,2020-02-26 00:00:00,914,914,DINHEIRO E TRANSFER ITAU 28/02,ELIAS,281.57,0.30806345733041574
21083,2020-02-26 00:00:00,1342.6,1302,CHEQUE,PRIMOSUL,521.98,0.4009062980030722
21084,2020-02-26 00:00:00,33,33,DINHEIRO,MINEIRO/ JEFERSON / CILENE,18.0,0.5454545454545454
21085,2020-02-26 00:00:00,442.8,442.8,TRANSFER BRAD EM 28/02,INOVE,203.92,0.460523938572719
21086,2020-02-27 00:00:00,111.75,110,DINHEIRO,FUMIO,47.18,0.4289090909090909
21087,2020-02-27 00:00:00,875.6,830,DEBITO,CRISPIM,238.09,0.286855421686747
21088,2020-02-27 00:00:00,1762.85,1675,TRANSFER ITAU 27/02/2020,DANIELA,718.59,0.4290089552238806
21089,2020-02-27 00:00:00,1122.4,1122.4,CREDITO,GERSON ,427.52,0.3808980755523877
21090,2020-02-27 00:00:00,3025.87,2800,TRANSFER ITAU 27/02/2020,EDINAEL / LUIZ,1226.87,0.4381678571428571
21091,2020-02-27 00:00:00,5686.29,5400,DEBITO E DINHEIRO,JOÃO / MIGUEL,2435.58,0.45103333333333334
21092,2020-02-27 00:00:00,1556,1556,BOLETO,NORBRASIL,633.02,0.40682519280205653
21093,2020-02-28 00:00:00,3776,3776,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,1038.0,0.2748940677966102
21094,2020-02-28 00:00:00,136.8,132.7,CHEQUE,PRIMOSUL,33.36,0.25139412207987943
21095,2020-02-28 00:00:00,3612.9,3400,CREDITO 3 X ,AILTON,1609.85,0.47348529411764706
21096,2020-02-28 00:00:00,116.7,116.7,CREDITO,"2 SAP 6 F 3/8 40X30 + 2 3/8 9X15 - 1,50",56.03,0.48011996572407883
21097,2020-02-28 00:00:00,375,375,TRANSFER ITAU 28/02,ELIAS,116.7,0.31120000000000003
21098,2020-02-28 00:00:00,3705,3500,TRANSFERS CAIXA,NEIVALDO - MIRACATU,1485.0,0.42428571428571427
21099,2020-02-28 00:00:00,697.2,697.2,CHEQUE,PANORAMA,331.2,0.47504302925989667
21100,2020-02-28 00:00:00,1386.6,1386.6,CHEQUE,DEPOSITO SANTO ANTONIO,588.72,0.424578104716573
21101,2020-02-28 00:00:00,1533.2,1533.2,CREDITO 5 X ,EDNA,670.81,0.4375228280720062
21102,2020-02-28 00:00:00,858,858,"FALTAM R$ 458,00",ELIAS,260.28,0.3033566433566433
21103,2020-02-28 00:00:00,321.75,320,CREDITO,ELIZABETE,143.51,0.44846874999999997
21104,2020-02-28 00:00:00,228.8,228.8,BOLETO,NORBRASIL,128.56,0.5618881118881118
21105,2020-02-28 00:00:00,68,68,CREDITO 3 X ,GIVANILDO,27.0,0.39705882352941174
21106,2020-02-28 00:00:00,1054.8,1034.8,CREDITO 4 X ,MARCELO ,458.82,0.4433900270583688
21107,2020-02-29 00:00:00,85.8,85.8,TRANSFER BRADESCO,ALFA,34.14,0.3979020979020979
21108,2020-02-29 00:00:00,32,32,DINHEIRO,MIRANTE - 1 BARRA 3/8,9.5,0.296875
21109,2020-02-29 00:00:00,27,27,CREDITO 3 X ,09 MTS B 3/8 / GIVANILDO,10.13,0.37518518518518523
21110,2020-02-29 00:00:00,1065,1065,CREDITO 04X,VALERIA ,455.52,0.42771830985915493
21111,2020-02-29 00:00:00,108,108,CREDITO,PELEGRINO,55.74,0.5161111111111111
21112,2020-02-29 00:00:00,13,13,DINHEIRO,06 MTS B 5/16,5.5,0.4230769230769231
21114,2020-02-29 00:00:00,56.76,56.76,CREDITO,PELEGRINO,25.2,0.4439746300211416
Meta,,170000,,,,,
Percentual atingido,,0.8927656470588236,,, SALÁRIOS + SÁBADOS,10680.0,
Meta diária,,9444.44,,,,,
21115,2020-03-02 00:00:00,18,18,DEBITO E DINHEIRO,06 MTS B 3/8,7.0,0.3888888888888889
21116,2020-03-02 00:00:00,1617.8,1617.8,CHEQUE,DEPOSITO SANTO ANTONIO,578.08,0.35732476202249974
21117,2020-03-02 00:00:00,868.75,868.75,CHEQUE,CASA E TUBO,339.38,0.39065323741007196
21118,2020-03-02 00:00:00,89.4,80,DINHEIRO,06 MTS 3/8 9X15,29.18,0.36475
21119,2020-03-02 00:00:00,594,594,CREDITO 3 X ,AILTON - OFICINA ,283.68,0.4775757575757576
21120,2020-03-02 00:00:00,234,234,CHEQUE,AABM,105.0,0.44871794871794873
21120,2020-03-02 00:00:00,57,57,DEBITO,2 TELAS 3.4 20X20,24.0,0.42105263157894735
21121,2020-03-02 00:00:00,42,40,DINHEIRO,LUIS FERNANDO,15.04,0.376
21122,2020-03-02 00:00:00,782.25,782.25,CREDITO 3 X ,CARLOS,337.58,0.4315500159795462
21123,2020-03-02 00:00:00,108,108,CREDITO 3 X ,GIVANILDO,42.0,0.3888888888888889
21124,2020-03-02 00:00:00,1490.35,1490.35,BOLETO,NORBRASIL,806.88,0.5414030261348006
21125,2020-03-03 00:00:00,1297.6,1297.6,TRANSFER ITAU 03/03,JUAREZ DE BRITO,446.4,0.344019728729963
21126,2020-03-03 00:00:00,3827,3550,TRANSFER ITAU 03/03,JUAREZ DE BRITO,1696.8,0.4779718309859155
21127,2020-03-03 00:00:00,144,144,DEBITO,4 BARRAS 3/8,56.0,0.3888888888888889
21128,2020-03-03 00:00:00,26.5,26.5,DINHEIRO,1 BARRA 5/16,10.55,0.39811320754716983
21129,2020-03-03 00:00:00,7287.07,6922.72,TRANSFERS ITAU,SALVADOR,2470.44,0.35685973143504285
21130,2020-03-03 00:00:00,119.2,110,TRANSFER BRAD EM 03/03/2020,JORGE,42.24,0.384
21131,2020-03-03 00:00:00,660.4,660.4,PAI RECEBEU - LANCADO EM 12/03,DEUSDETE,303.81,0.4600393700787402
21131,2020-03-03 00:00:00,16.5,16.5,DINHEIRO,1 BARRA 1/4,6.85,0.4151515151515151
21132,2020-03-03 00:00:00,100,100,CREDITO 4 X ,MARCELO - 10 SARR DE 15 CM,37.0,0.37
21133,2020-03-03 00:00:00,106,106,DINHEIRO,FERNANDO - 2 SAP 6 F 3/8 70X40,54.5,0.5141509433962265
21134,2020-03-03 00:00:00,992.14,992.14,TRANSFER ITAU 03/03,SILMARA,385.04,0.38809039046908705
21135,2020-03-03 00:00:00,97.3,97.3,CHEQUE,AABM,38.01,0.3906474820143885
21136,2020-03-03 00:00:00,20,20,DEBITO,2 SARRAFOS 15 CM,7.4,0.37
21137,2020-03-03 00:00:00,24,24,DEBITO,2 PONTALETES,11.4,0.47500000000000003
21138,2020-03-03 00:00:00,90,90,DEBITO,JOSE GOMES,51.5,0.5722222222222222
21139,2020-03-03 00:00:00,12,12,DINHEIRO,1 KG. ARAME,5.0,0.4166666666666667
21139,2020-03-03 00:00:00,903,903,CHEQUE,DEPOSITO SANTO ANTONIO,310.1,0.34341085271317834
21140,2020-03-03 00:00:00,434.33,434.33,CHEQUE,DEPOSITO SANTO ANTONIO,179.45,0.413165104874174
21141,2020-03-04 00:00:00,570.95,570.95,DEBITO,JOSE AUGUSTO,156.3,0.27375426920045537
21142,2020-03-04 00:00:00,36,36,DINHEIRO,JAILTON,14.0,0.3888888888888889
21143,2020-03-04 00:00:00,12,12,DINHEIRO,1 KG. ARAME ,5.0,0.4166666666666667
21144,2020-03-04 00:00:00,24,24,CREDITO 3 X ,GIVANILDO - 1 PREGO + 1 ARAME,10.0,0.4166666666666667
21145,2020-03-04 00:00:00,134.1,127,DINHEIRO,NIDIA,50.77,0.3997637795275591
21146,2020-03-04 00:00:00,50.5,50.5,CREDITO,MAURO,23.95,0.47425742574257423
21147,2020-03-04 00:00:00,320.6,320.6,CHEQUE,CONSTRUTEM,89.6,0.2794759825327511
21148,2020-03-04 00:00:00,90,90,DEBITO,"1 SAP 6 F 3/8 40X30 + 1 3/8 9X15 - 4,00",39.15,0.435
21149,2020-03-04 00:00:00,3460,3460,TRANSFER ITAU 05/03,SILMARA,558.77,0.16149421965317917
21150,2020-03-04 00:00:00,8180.2,8180.2,BOLETOS,WALLS ENGENHARIA,3321.84,0.4060829808562138
21151,2020-03-04 00:00:00,73.5,73.5,CHEQUE,AABM,25.95,0.35306122448979593
21152,2020-03-04 00:00:00,975.88,915,DINHEIRO,JUNIOR ,431.94,0.4720655737704918
21153,2020-03-05 00:00:00,7,7,DEBITO,01 SARRAFO DE 10CM,2.83,0.4042857142857143
21154,2020-03-05 00:00:00,126,126,DEBITO,06 TABUAS DE 30CM,45.12,0.3580952380952381
21155,2020-03-05 00:00:00,36,36,DINHEIRO,01 B 3/8,14.0,0.3888888888888889
21156,2020-03-05 00:00:00,72.6,72.6,TRANSFER ITAU 05/03/2020,JUAREZ DE BRITO,34.59,0.47644628099173564
21157,2020-03-05 00:00:00,42,42,DEBITO,2 TABUAS 30 CM,15.04,0.3580952380952381
21158,2020-03-05 00:00:00,21,21,DEBITO,1 TABUA 30 CM,7.52,0.3580952380952381
21159,2020-03-05 00:00:00,525,525,CHEQUE,PANORAMA,195.0,0.37142857142857144
21160,2020-03-05 00:00:00,668.3,668.3,CREDITO 2 X ,PELEGRINO,278.75,0.4171030974113422
21161,2020-03-05 00:00:00,933,933,CREDITO 02X,PELEGRINO,436.0,0.46730975348338694
21162,2020-03-05 00:00:00,162.2,162.2,CREDITO 3 X ,GIVANILDO,76.72,0.47299630086313194
21163,2020-03-05 00:00:00,334,334,CREDITO 3 X ,GIVANILDO,138.2,0.4137724550898203
21164,2020-03-05 00:00:00,310,290,DINHEIRO,DANIEL,113.6,0.39172413793103444
21165,2020-03-06 00:00:00,28.5,28.5,CREDITO 4 X ,GIVANILDO - 1 TELA,12.0,0.42105263157894735
21166,2020-03-06 00:00:00,902.4,902.4,CREDITO 3 X ,CLOVIS,383.48,0.4249556737588653
21167,2020-03-06 00:00:00,125.1,125.1,DEBITO,CASA CENTRAL PERDIZES,48.87,0.3906474820143885
21168,2020-03-06 00:00:00,819.3,819.3,TRANSFER BRAD EM 16/03/2020,ANTUNINO,423.62,0.517051141218113
21169,2020-03-06 00:00:00,52,50,DEBITO,7 SARRAFO 05 + 2 PONTALETES,22.49,0.4498
21170,2020-03-06 00:00:00,759.9,714,DEBITO,MACHO,282.03,0.39499999999999996
21171,2020-03-06 00:00:00,20,20,DEBITO,2 TABUAS 15 CM ,7.4,0.37
21172,2020-03-06 00:00:00,1742.4,1742.4,BOLETOS,WALLS ENGENHARIA,1012.3,0.5809802571166207
21173,2020-03-07 00:00:00,8,8,DINHEIRO,2 METROS FERRO 3/8 + 4 ESTR 9X15,3.45,0.43125
21174,2020-03-07 00:00:00,525,525,CHEQUE,PANORAMA,195.0,0.37142857142857144
21175,2020-03-07 00:00:00,2207.15,2207.15,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,773.37,0.3503930407992207
21176,2020-03-07 00:00:00,417.2,390,DINHEIRO,DANIEL,180.04,0.4616410256410256
21177,2020-03-09 00:00:00,1548,1548,CHEQUE,BASICO,785.55,0.5074612403100774
21178,2020-03-09 00:00:00,869,869,TRANSFER BRADESCO,ALFA,390.3,0.44913693901035673
21179,2020-03-09 00:00:00,71.5,71.5,TRANSFER BRADESCO,ALFA,29.15,0.4076923076923077
21180,2020-03-09 00:00:00,260,260,TRANSFER BRADESCO,ALFA,95.0,0.36538461538461536
21181,2020-03-09 00:00:00,186,186,TRANSFER BRADESCO,ALFA,62.0,0.3333333333333333
21182,2020-03-09 00:00:00,684.8,684.8,CREDITO 3 X ,CLAUDIO,312.52,0.45636682242990656
21183,2020-03-09 00:00:00,115.44,115.44,TRANSFER BRAD EM 16/03/2020,INOVE,44.56,0.386001386001386
21183,2020-03-09 00:00:00,72,72,CREDITO,6 KG. ARAME ,30.0,0.4166666666666667
21184,2020-03-09 00:00:00,4002,4002.06,TRANSFER BRADESCO,ALFA,1989.82,0.4971989425445895
21185,2020-03-09 00:00:00,518.5,518.5,DEBITO,CASA PALMIERI,161.0,0.3105110896817743
21186,2020-03-09 00:00:00,91,91,DINHEIRO,NIDIA,37.54,0.4125274725274725
21187,2020-03-09 00:00:00,171,165,DEBITO,EDINEI,66.0,0.4
21188,2020-03-09 00:00:00,1533,1533,CREDITO 3 X ,CARLOS,644.5,0.4204174820613177
21189,2020-03-09 00:00:00,347.5,330,DINHEIRO,ELSO / NESTOR,179.55,0.5440909090909092
21190,2020-03-09 00:00:00,631.6,631.6,CREDITO 2 X ,PELEGRINO,242.86,0.38451551614946167
21191,2020-03-09 00:00:00,3476.37,3300,TRANSFER ITAU 10/03,EDINAEL / LUIZ,1534.39,0.4649666666666667
21192,2020-03-09 00:00:00,12,12,DINHEIRO,1 KG. PREGO 18X27,5.0,0.4166666666666667
21193,2020-03-09 00:00:00,438.7,430,DINHEIRO,JOAO BATISTA,177.19,0.41206976744186047
