Pedido,Data,Total_custo,Valor_liquido,Forma_pagamento,Cliente,Lucro,Percentual_lucro
21281,2020-03-19 00:00:00,2569,2440,DEBITO,CARLOS,651.54,0.2670245901639344
21282,2020-03-19 00:00:00,12,12,DINHEIRO,1 KG. PREGO 18X27,5.0,0.4166666666666667
21283,2020-03-19 00:00:00,25,25,DEBITO,8 METROS FERRO 3/8,10.36,0.4144
21284,2020-03-20 00:00:00,572,572,TRANSFER BRADESCO,ALFA,233.2,0.4076923076923077
21285,2020-03-20 00:00:00,1123.7,1040.7,TRANSFER BRADESCO,WILLIAM,309.69,0.29757855289708846
21286,2020-03-20 00:00:00,333.6,333.6,CREDITO,CASA CENTRAL PERDIZES,130.32,0.3906474820143884
21287,2020-03-20 00:00:00,41.7,41.7,CHEQUE,AABM,16.29,0.3906474820143884
21288,2020-03-20 00:00:00,837.6,837.6,TRANSFER BRADESCO ,MINERAÇÃO CAIEIRAS,448.32,0.5352435530085959
21289,2020-03-20 00:00:00,67.05,67.05,CREDITO,JOAO,28.94,0.4316181953765847
21290,2020-03-21 00:00:00,333.1,333.1,CREDITO 4 X ,GIVANILDO,140.05,0.4204443110177124
21291,2020-03-21 00:00:00,59.6,59.6,CREDITO,PELEGRINO,25.72,0.4315436241610738
21292,2020-03-21 00:00:00,955.5,955.5,TRANSFER BRADESCO,ALFA,410.25,0.4293563579277865
21293,2020-03-21 00:00:00,79.5,79.5,CREDITO 4 X ,GIVANILDO,31.65,0.3981132075471698
21294,2020-03-21 00:00:00,402.3,402.3,CREDITO 3 X ,CARLOS,173.61,0.43154362416107384
21295,2020-03-21 00:00:00,20.25,20.25,CREDITO 4 X ,GIVANILDO,8.43,0.4162962962962963
21296,2020-03-23 00:00:00,114.4,114.4,TRANSFER BRAD EM 12/06/2020,ALFA,46.64,0.4076923076923077
21297,2020-03-23 00:00:00,34,34,DEBITO,"40 ESTRIBOS 0,20CM 4,2MM",18.0,0.5294117647058824
21298,2020-03-23 00:00:00,36,36,DEBITO,04 B 3/16,17.0,0.4722222222222222
21299,2020-03-23 00:00:00,39,39,CREDITO 4 X ,01 CONDUITE - GIVANILDO,21.76,0.557948717948718
21300,2020-03-23 00:00:00,48,48,DINHEIRO,03 ARAMES 01 18X27,20.0,0.4166666666666667
21301,2020-03-23 00:00:00,425.6,425.6,CREDITO 2 X ,PELEGRINO,166.6,0.3914473684210526
21302,2020-03-23 00:00:00,474.3,474.3,CREDITO 3 X ,EDNA,211.67,0.44627872654438117
21303,2020-03-23 00:00:00,1089.5,1030,TRANSFER BRADESCO EM ,TATI,407.4,0.39553398058252426
21304,2020-03-23 00:00:00,5,5,DINHEIRO,1 DISCO CORTE,3.55,0.71
21305,2020-03-23 00:00:00,272,272,DINHEIRO,ADRIANO,130.24,0.47882352941176476
21306,2020-03-23 00:00:00,89.4,89.4,CREDITO,"2 COL 3/8 9X15 - 3,00",38.58,0.4315436241610738
21307,2020-03-23 00:00:00,152.4,152.4,CHEQUE,AABM,67.64,0.44383202099737534
21308,2020-03-23 00:00:00,822.85,800,DINHEIRO,DEPOSITO CEARA,228.15,0.2851875
21309,2020-03-23 00:00:00,89,89,CREDITO 3 X ,AILTON - OFICINA ,35.1,0.3943820224719101
21310,2020-03-23 00:00:00,250.2,250.2,CHEQUE,AABM,97.74,0.3906474820143885
21311,2020-03-23 00:00:00,1249.98,1249.98,CREDITO 3 X ,AILTON - OFICINA ,585.68,0.46855149682394914
21312,2020-03-23 00:00:00,2139.4,2000,TRANSFER BRADESCO EM 25/03,MARCELO,799.99,0.399995
21313,2020-03-24 00:00:00,66,60,DINHEIRO,06 PONTALETES,22.2,0.37
21314,2020-03-24 00:00:00,910,910,TRANSFER BRAD EM 12/06/2020,ALFA,323.75,0.3557692307692308
21316,2020-03-24 00:00:00,72,72,CREDITO,2 BARRAS 3/8,28.0,0.3888888888888889
21317,2020-03-24 00:00:00,4052.6,4052.6,CREDITO 5 X ,PAULO,1732.15,0.4274169668854563
21318,2020-03-24 00:00:00,10,10,DINHEIRO,02 DISCOS DE CORTE,7.1,0.71
21319,2020-03-24 00:00:00,1530,1530,CREDITO 2 X ,PELEGRINO,846.0,0.5529411764705883
21320,2020-03-24 00:00:00,67,67,DINHEIRO,"1 COL 3/8 9X15 - 4,50",28.89,0.4311940298507463
21321,2020-03-24 00:00:00,209.3,209.3,DEBITO,FERNANDO,103.81,0.4959866220735786
21322,2020-03-24 00:00:00,1045.6,990,TRANSFER CAIXA EM 24/03/2020,JEFFERSON,364.7,0.36838383838383837
21323,2020-03-24 00:00:00,40.5,40.5,DEBITO,ARILDO,23.83,0.5883950617283951
21324,2020-03-25 00:00:00,142.5,142.5,DEBITO,VALMIR,58.75,0.41228070175438597
21325,2020-03-25 00:00:00,463.5,463.5,CREDITO 2 X ,PELEGRINO,199.75,0.43096008629989213
21326,2020-03-25 00:00:00,108,100,TRANSFER BRADESCO EM 25/03,MARCELO,49.09,0.49090000000000006
21327,2020-03-25 00:00:00,642.6,642.6,CREDITO 3 X ,CARLOS,294.3,0.4579831932773109
21328,2020-03-25 00:00:00,351,351,TRANSFER ITAU 25/03,ADENILSON,149.7,0.4264957264957265
21329,2020-03-26 00:00:00,324,324,CREDITO 3 X ,CARLOS,120.24,0.3711111111111111
21330,2020-03-26 00:00:00,986.9,986.9,CHEQUE,AABM,385.53,0.3906474820143885
21331,2020-03-26 00:00:00,13,13,DINHEIRO,1 KG. PREGO 17X21,5.35,0.4115384615384615
21332,2020-03-26 00:00:00,60,60,DINHEIRO,5 METROS 5/16 9X15,27.75,0.4625
21333,2020-03-26 00:00:00,324,310,DEBITO,CARLOS,112.0,0.36129032258064514
21334,2020-03-27 00:00:00,458.15,435,DINHEIRO,MARCELO,185.05,0.42540229885057473
21335,2020-03-27 00:00:00,125.1,125.1,CHEQUE,AABM,48.87,0.3906474820143885
21336,2020-03-27 00:00:00,15,15,DINHEIRO,"12 CARANGUEIJO 5/16 - 0,60 CM",5.43,0.362
21337,2020-03-27 00:00:00,468.36,468.36,TRANSFER CAIXA 27/03,CONSTRUTORA SANDIM,249.88,0.5335212229908617
21338,2020-03-27 00:00:00,170,170,DINHEIRO,4 SAP 3/8 50X30 6F E 01 TORCIDO,86.32,0.5077647058823529
21339,2020-03-27 00:00:00,299.9,299.9,CHEQUE,DEP SANTO ANTONIO,132.47,0.4417139046348783
21340,2020-03-28 00:00:00,166.8,166.8,CREDITO,PELEGRINO,65.16,0.3906474820143884
21341,2020-03-30 00:00:00,48,48,CREDITO 3 X ,EDNA,20.0,0.4166666666666667
21342,2020-03-30 00:00:00,46.8,46.8,TRANSFER BRAD EM 12/06/2020,ALFA,21.0,0.44871794871794873
21343,2020-03-30 00:00:00,4776.82,4776.82,TRANSFER BRAD EM 12/06/2020,ALFA,1925.52,0.40309662076444164
21344,2020-03-30 00:00:00,79.5,79.5,CHEQUE,AABM,28.87,0.3631446540880503
21345,2020-03-30 00:00:00,9,9,DINHEIRO,01 B 3/16,4.25,0.4722222222222222
21344,2020-03-30 00:00:00,597.65,570,DEBITO,JESSICA - LUIS PERUA,257.86,0.4523859649122807
21345,2020-03-30 00:00:00,440.65,440.65,TRANSFER BRAD EM 12/06/2020,ALFA,172.26,0.39092250085101554
21346,2020-03-31 00:00:00,3000,3000,TRANSFER BRADESCO 30/03,PAULO - DEPOSITO JH,1138.36,0.3794533333333333
21347,2020-03-31 00:00:00,65,65,DINHEIRO,2 BARRAS 5/16 + 1 ARAME,26.1,0.40153846153846157
21348,2020-03-31 00:00:00,493.35,493.35,CREDITO 3 X ,RAFAEL,212.55,0.4308300395256917
21349,2020-03-31 00:00:00,44.7,50,DINHEIRO,"01 3/8 9X15 3,00M",24.59,0.4918
21350,2020-03-31 00:00:00,149.5,149.5,CHEQUE,AABM,39.5,0.26421404682274247
21351,2020-03-31 00:00:00,24,24,CREDITO ,2 KG. PREGO 18X27,10.0,0.4166666666666667
21352,2020-03-31 00:00:00,60,60,DINHEIRO,15 SARRAFOS 05 CM ,28.05,0.4675
21353,2020-03-31 00:00:00,26.5,26.5,DEBITO,1 BARRA 5/16,10.55,0.39811320754716983
21354,2020-03-31 00:00:00,311.6,310,DINHEIRO,PANORAMA,134.98,0.43541935483870964
21355,2020-03-31 00:00:00,4732.13,4730,TRANSFER ITAU 31/03,EVERALDO,2078.94,0.43952219873150106
21356,2020-03-31 00:00:00,176.22,176.22,CHEQUE,CHARLES,113.57,0.6444784927930995
21357,2020-03-31 00:00:00,207.4,207.4,CREDITO,PETERSON,85.78,0.41359691417550626
Meta,,170000,,, SALÁRIOS + SÁBADOS,11140.0,
Percentual atingido,,0.9908125882352937,,,,,
Meta diária,,7727.27,,,,56968.770000000004,12817.973250000001
21358,2020-04-01 00:00:00,350,350,CREDITO,APOIO TINTAS,130.0,0.37142857142857144
21359,2020-04-01 00:00:00,2507.68,2200,TRANSFERS ITAU,EDINAEL ,939.81,0.4271863636363636
21360,2020-04-01 00:00:00,421.75,421.75,CREDITO 3 X ,EDNA,181.0,0.42916419679905154
21361,2020-04-01 00:00:00,439.8,439.8,TRANSFER BRAD EM 12/06/2020,ALFA,221.55,0.5037517053206003
21362,2020-04-01 00:00:00,18,18,DINHEIRO,PEÇAS FERRO ,9.0,0.5
21363,2020-04-01 00:00:00,65,65,CREDITO,"1 3/8 15X20 - 2,50 + 1 3/8 9X15 - 1,50",30.23,0.4650769230769231
21364,2020-04-01 00:00:00,49.5,49.5,DEBITO,ADEMIR,23.52,0.47515151515151516
21365,2020-04-01 00:00:00,44.7,44.7,DEBITO,"01 3/8 9X15 3,00M",19.2,0.4295302013422818
21366,2020-04-02 00:00:00,423.5,423.5,CREDITO 3 X ,CARLOS ,171.46,0.4048642266824085
21367,2020-04-02 00:00:00,520,520,TRANSFER BRAD EM 12/06/2020,ALFA,180.0,0.34615384615384615
21368,2020-04-02 00:00:00,155.5,155.5,CHEQUE,CHARLES,83.75,0.5385852090032154
21369,2020-04-02 00:00:00,951.6,920,TRANSFER ITAU 02/04/2020,ROBERTO MORAES,419.37,0.4558369565217391
21370,2020-04-02 00:00:00,40,40,DINHEIRO,10 SARRAFOS 05,18.7,0.46749999999999997
21371,2020-04-02 00:00:00,173,173,DEBITO,MAURO,94.6,0.5468208092485549
21372,2020-04-03 00:00:00,37,37,DINHEIRO,EDNA - 2 ARAME + 1 17X21,15.65,0.422972972972973
21373,2020-04-03 00:00:00,12,12,CREDITO 4 X ,01 TORCIDO / GIVANILDO,5.0,0.4166666666666667
21374,2020-04-03 00:00:00,261.8,261.8,DEBITO,ZEN,102.96,0.3932773109243697
21375,2020-04-03 00:00:00,44.7,44.7,CREDITO 4 X ,"GIVANILDO - 1 3/8 9X15 - 3,00",19.2,0.4295302013422818
21376,2020-04-03 00:00:00,75,75,DINHEIRO,3 BARRAS 5/16,27.15,0.362
21377,2020-04-03 00:00:00,3031.5,3031.5,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,981.0,0.3236021771400297
21378,2020-04-04 00:00:00,289.1,289.1,CREDITO 4 X ,GIVANILDO,125.9,0.43548945001729505
21379,2020-04-06 00:00:00,670.5,670.5,CREDITO 3 X ,ITALO ,288.0,0.42953020134228187
21380,2020-04-06 00:00:00,457.6,457.6,TRANSFER BRAD EM 12/06/2020,ALFA,185.6,0.40559440559440557
21381,2020-04-06 00:00:00,894,840,DINHEIRO,MARTINHO,335.04,0.39885714285714285
21382,2020-04-06 00:00:00,230,200,DINHEIRO,MARTINHO,87.1,0.4355
21383,2020-04-06 00:00:00,250.6,250.6,TRANSFER BRAD 09/04,INOVE MOEMA,106.81,0.42621707901037514
21384,2020-04-06 00:00:00,114,110,DINHEIRO,IZALTINO,48.1,0.4372727272727273
21385,2020-04-06 00:00:00,289.5,280,DEBITO,MESSIAS,115.07,0.41096428571428567
21386,2020-04-06 00:00:00,775,775,DINHEIRO,CENTER MENDONÇA,349.52,0.45099354838709677
21387,2020-04-06 00:00:00,196.5,196.5,DEBITO,FERNANDO,80.28,0.4085496183206107
21388,2020-04-06 00:00:00,558,558,DEBITO,SEBASTIÃO,254.48,0.45605734767025086
21389,2020-04-06 00:00:00,683.9,683.9,CHEQUE,AABM,211.0,0.3085246381049861
21390,2020-04-06 00:00:00,1020.6,1020.6,CREDITO 3 X ,AILTON,527.58,0.5169312169312169
21391,2020-04-06 00:00:00,96,96,CREDITO 3 X ,MARCIO - 28 METROS FERRO 3/8 + 1 ARAME,37.76,0.3933333333333333
21392,2020-04-06 00:00:00,321.6,320,DINHEIRO,VALDECI,145.8,0.45562500000000006
21393,2020-04-06 00:00:00,44.7,44.7,DINHEIRO,"EDNA 1 3/8 9X20 - 3,00",19.2,0.4295302013422818
21394,2020-04-06 00:00:00,271.8,250,DINHEIRO,COLEGIO SÃO LUIZ GONZAGA,100.08,0.40032
21395,2020-04-06 00:00:00,120.5,120.5,"ABATEU CREDITO DE $ 136,55",LUIS - RUA SEBASTIAO AFONSO REIS,51.62,0.4283817427385892
21396,2020-04-06 00:00:00,845,845,DEBITO,CARLOS ,295.1,0.34923076923076923
21397,2020-04-06 00:00:00,89.4,89.4,TRANSFER BRAD 09/04,INOVE MOEMA,37.44,0.4187919463087248
21398,2020-04-07 00:00:00,39,39,DINHEIRO,01 CONDUITE,21.76,0.557948717948718
21399,2020-04-07 00:00:00,335.25,335,DEBITO,FERNANDO,143.75,0.4291044776119403
21400,2020-04-07 00:00:00,478.8,479,CHEQUE,CASA E TUBO,207.9,0.4340292275574113
21401,2020-04-07 00:00:00,77.75,77.75,CHEQUE,CHARLES,41.75,0.5369774919614148
21402,2020-04-07 00:00:00,1174,1174,03X,MARCIO,295.56,0.25175468483816016
21403,2020-04-07 00:00:00,474,474,DEBITO,CARLOS ,257.32,0.5428691983122362
21404,2020-04-07 00:00:00,71.7,71.7,CHEQUE,AABM,19.5,0.2719665271966527
21405,2020-04-07 00:00:00,57.3,57.3,CREDITO 3 X ,GIVANILDO,22.92,0.4
21406,2020-04-07 00:00:00,456,456,CREDITO 2 X ,APOIO TINTAS,233.8,0.512719298245614
21407,2020-04-07 00:00:00,1733.63,1733.63,BNDES,LAINETTI,603.35,0.3480269723066629
21408,2020-04-08 00:00:00,57.2,57.2,TRANSFER BRAD EM 12/06/2020,ALFA,23.2,0.40559440559440557
21409,2020-04-08 00:00:00,50,50,CREDITO,ZEN 3 18X27 + 2 ARAMES,15.0,0.3
21410,2020-04-08 00:00:00,27,27,DINHEIRO,03 CXS LAJE E 01 TORCIDO,16.01,0.592962962962963
21411,2020-04-08 00:00:00,26.5,26.5,DINHEIRO,1 BARRA 5/16,10.55,0.39811320754716983
21412,2020-04-08 00:00:00,298,298,DEBITO,TATI,128.0,0.42953020134228187
21413,2020-04-08 00:00:00,1059.4,1000,TRANSFER ITAU 08/04/2020,ADRIANO,405.47,0.40547000000000005
21414,2020-04-08 00:00:00,10,10,CREDITO 03X,EDNA - 2 DISCOS ,7.1,0.71
21415,2020-04-08 00:00:00,85.5,85.5,CREDITO 3 X ,AILTON,36.0,0.42105263157894735
21416,2020-04-08 00:00:00,180,175,DINHEIRO,04 B 3/8 E 01 SAP 3/8 43X43 6F,68.44,0.39108571428571426
21417,2020-04-08 00:00:00,2065.2,2065.2,CHEQUE,DEPOSITO SANTO ANTONIO,962.04,0.4658338175479373
21418,2020-04-08 00:00:00,1087.5,1087.5,DEBITO,CASA CENTRAL PERDIZES,262.5,0.2413793103448276
21419,2020-04-08 00:00:00,2778,2778,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,632.0,0.22750179985601152
21420,2020-04-08 00:00:00,160.3,160,DEBITO,DEPOSITO JH,41.3,0.258125
21421,2020-04-09 00:00:00,157.3,157.3,TRANSFER BRAD EM 12/06/2020,ALFA,63.8,0.40559440559440557
21422,2020-04-09 00:00:00,1431.13,1359.57,TRANSFER ITAU 09/04/2020,MARIA LUIZA BORGES,537.52,0.3953602977411976
21423,2020-04-09 00:00:00,91.5,91.5,DEBITO,ANTONIO,34.64,0.3785792349726776
21424,2020-04-09 00:00:00,125,125,CREDITO 3 X ,2 BARRAS 3/8 + 2 BARRAS 5/16,49.0,0.392
21425,2020-04-09 00:00:00,344,344,DINHEIRO,DEPOSITO CEARA,118.6,0.3447674418604651
21426,2020-04-09 00:00:00,160.6,160.6,CREDITO,DENILSON,67.48,0.4201743462017435
21427,2020-04-09 00:00:00,30,30,CREDITO 3 X ,AILTON,11.1,0.37
21428,2020-04-09 00:00:00,1071.5,1071.5,TRANSFERS ITAU,GRANICUT,421.9,0.3937470835277648
21429,2020-04-11 00:00:00,57.2,57.2,TRANSFER BRAD EM 12/06/2020,ALFA,23.2,0.40559440559440557
21430,2020-04-11 00:00:00,74.5,70,DINHEIRO,"01 3/8 9X20 5,00M",27.5,0.39285714285714285
21431,2020-04-11 00:00:00,123.4,123.4,CREDITO,PELEGRINO,44.4,0.359805510534846
21432,2020-04-11 00:00:00,80,80,DEBITO,06 MTS B 1/2 E 01 COMPOUND,32.15,0.401875
21433,2020-04-11 00:00:00,13.5,13.5,DEBITO,18 ESTRIBOS 20X20 5.0,3.71,0.2748148148148148
21434,2020-04-11 00:00:00,12,12,DEBITO,01 ARAME,5.0,0.4166666666666667
21435,2020-04-13 00:00:00,278.56,278.56,CHEQUE,AABM,120.54,0.43272544514646755
21436,2020-04-13 00:00:00,140.4,140.4,TRANSFER BRADESCO 15/04,INOVE MOEMA,61.83,0.4403846153846154
21437,2020-04-13 00:00:00,46.8,46.8,TRANSFER BRAD EM 12/06/2020,ALFA,20.08,0.42905982905982903
21438,2020-04-13 00:00:00,274,274,CREDITO 03X,EDNA,109.4,0.39927007299270073
21439,2020-04-13 00:00:00,354.32,336.6,TRANSFER BRAD 14/04,MARIA LUIZA BORGES,153.09,0.4548128342245989
21440,2020-04-13 00:00:00,290.55,270,DINHEIRO,MARTINHO,124.8,0.4622222222222222
21441,2020-04-13 00:00:00,396.1,396.1,CHEQUE,AABM,152.5,0.3850037869224943
21442,2020-04-13 00:00:00,78.75,78.75,DINHEIRO,COLEGIO SÃO LUIZ GONZAGA,33.0,0.41904761904761906
21443,2020-04-13 00:00:00,108.75,108.75,DEBITO,CASA CENTRAL PERDIZES,21.75,0.2
21444,2020-04-14 00:00:00,1932.9,1932.9,CREDITO 4 X ,MARCOS,849.04,0.43925707486160687
21445,2020-04-14 00:00:00,201.1,195,DEBITO,FRANCISCO,70.65,0.36230769230769233
21446,2020-04-14 00:00:00,461.9,461.9,CREDITO 3 X ,EDYPO CARLOS,198.4,0.4295302013422819
21447,2020-04-14 00:00:00,48,48,CREDITO 03X,EDNA  - 1 3/8 + 1 ARAME,18.9,0.39375
21448,2020-04-14 00:00:00,5,5,DINHEIRO,"3,20 METROS 1/4",2.42,0.484
21449,2020-04-14 00:00:00,48,48,DINHEIRO,2 TELAS 3.4 20X20,13.2,0.27499999999999997
21450,2020-04-14 00:00:00,812,812,TRANSFER BRAD EM 12/06/2020,ALFA,676.76,0.8334482758620689
21451,2020-04-15 00:00:00,350,350,DINHEIRO,CONSTRU IPE,130.0,0.37142857142857144
21452,2020-04-15 00:00:00,116.2,116.2,CHEQUE,AABM,41.32,0.35559380378657485
21453,2020-04-15 00:00:00,1886.85,1886.85,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,746.4,0.3955799348119882
21454,2020-04-15 00:00:00,373.2,373.2,TRANSFER BRAD 20/04,INOVE MOEMA,148.98,0.39919614147909965
21455,2020-04-15 00:00:00,101.8,100,DEBITO,"2 BARRAS 3/8 + 1 3/8 9X15 - 2,00",38.8,0.38799999999999996
21456,2020-04-15 00:00:00,674.09,674.09,CREDITO 3 X ,LUIS / GUTO,284.69,0.42233232951089617
21457,2020-04-16 00:00:00,44.7,44.7,DINHEIRO,"01 3/8 9X15 3,00M",19.2,0.4295302013422818
21458,2020-04-16 00:00:00,35.7,35,DEBITO,"01 5/16 9X15 3,00M",14.96,0.42742857142857144
21459,2020-04-16 00:00:00,49,49,DINHEIRO,07 SARRAFOS DE 10CM,19.81,0.40428571428571425
21460,2020-04-16 00:00:00,41.7,41.7,DINHEIRO,"1 COL 3/8 9X15 - 3,00",16.2,0.3884892086330935
21461,2020-04-16 00:00:00,28.5,28.5,DINHEIRO,1 TELA 3.4 20X20,11.1,0.3894736842105263
21462,2020-04-16 00:00:00,134.1,130,DINHEIRO,9 METROS 3/8 9X20,53.5,0.4115384615384615
21463,2020-04-16 00:00:00,24,24,DEBITO,2 KG. ARAME ,10.0,0.4166666666666667
21464,2020-04-16 00:00:00,60,60,CREDITO 03 X ,AILTON,25.0,0.4166666666666667
21465,2020-04-16 00:00:00,45,45,DINHEIRO,02 B 1/4 E 01 19X36,18.7,0.41555555555555557
21466,2020-04-16 00:00:00,383.85,383.85,CREDITO 3 X ,LUIS / GUTO,186.22,0.48513742347271066
21467,2020-04-16 00:00:00,194,194,TRANFER BRAD EM 16/04/2020,MARCELO,80.25,0.41365979381443296
21468,2020-04-16 00:00:00,448.5,440,DEBITO,DEPOSITO JH,117.0,0.26590909090909093
21469,2020-04-17 00:00:00,121.5,120,DEBITO,SEBASTIAO,46.85,0.3904166666666667
21470,2020-04-17 00:00:00,1330.9,1264.35,TRANSFER CAIXA EM 17/04,MARCELO - INTERLAGOS,450.05,0.35595365207418833
21471,2020-04-17 00:00:00,57,57,DEBITO,2 TELAS 3.4 20X20,22.2,0.3894736842105263
21472,2020-04-18 00:00:00,221.55,221.55,CREDITO,DENILSON,83.88,0.37860528097494917
21473,2020-04-18 00:00:00,10,10,DEBITO,2 METROS FERRO 1/2,4.21,0.421
21474,2020-04-18 00:00:00,42.9,42.9,TRANSFER BRAD EM 12/06/2020,"ALFA - 1 3/8 9X15 - 3,00",17.4,0.40559440559440557
21475,2020-04-18 00:00:00,140.8,135,DINHEIRO E DEBITO,JAIR ,49.0,0.362962962962963
21476,2020-04-18 00:00:00,625.65,594.36,TRANSFER CAIXA EM 20/04,MARCELO - BUTANTÃ,228.39,0.3842620633959216
21477,2020-04-18 00:00:00,22,22,DINHEIRO,6 METROS 5/16 + 1 BARRA 3/16,8.29,0.3768181818181818
21478,2020-04-20 00:00:00,369.6,369.6,CREDITO 5 X ,EDNA,158.6,0.42911255411255406
21479,2020-04-20 00:00:00,1965.35,1965.35,CREDITO 03 X ,AILTON,924.38,0.47033861653140663
21480,2020-04-20 00:00:00,995,950,DINHEIRO,JOÃO,357.7,0.37652631578947365
21481,2020-04-20 00:00:00,783.9,666.65,CHEQUE,PRIMOSUL,363.14,0.5447236180904522
21482,2020-04-20 00:00:00,30,30,DINHEIRO,6 METROS FERRO 3/8 + 1 ARAME,11.95,0.3983333333333333
21483,2020-04-20 00:00:00,410.65,410.65,CREDITO 3 X ,VALMIR,140.94,0.34321198100572264
21484,2020-04-20 00:00:00,20,20,DINHEIRO,2 KG. ARAME ,6.0,0.3
21485,2020-04-20 00:00:00,595.5,595.5,CHEQUE,AABM,258.78,0.4345591939546599
21486,2020-04-20 00:00:00,135,135,CREDITO 2 X ,MESSIAS - 3 TELAS 3.4 15X15,51.66,0.38266666666666665
21487,2020-04-20 00:00:00,1144.8,1088,TRANSFER ITAU 20/04/2020,DANIELA,532.8,0.48970588235294116
21488,2020-04-20 00:00:00,3228,3213,CREDITO 6 X ,TATI,1095.71,0.3410239651416122
21489,2020-04-20 00:00:00,12,12,DINHEIRO,4 METROS FERRO 3/8,4.63,0.3858333333333333
21490,2020-04-20 00:00:00,72,70,DINHEIRO,01 3/8 40X40 6F 01 BARRA 3/8,28.63,0.409
21491,2020-04-22 00:00:00,46.8,46.8,TRANSFER BRAD EM 12/06/2020,ALFA,20.08,0.42905982905982903
21492,2020-04-22 00:00:00,1344.45,1344.45,CREDITO 4 X ,JOSE XAVIER,445.08,0.33104987169474503
21493,2020-04-22 00:00:00,768.75,768.75,CREDITO 3 X ,GUILHERME ,315.1,0.40988617886178863
21494,2020-04-22 00:00:00,3146.75,3146.75,CREDITO 4 X ,TIAGO,699.0,0.22213394772384207
21495,2020-04-22 00:00:00,36,36,CREDITO 5 X ,EDNA - 1 BARRA 3/8,13.9,0.3861111111111111
21496,2020-04-22 00:00:00,321.2,305,DINHEIRO,FRANCISCO MARTINS,118.76,0.3893770491803279
21497,2020-04-22 00:00:00,120,120,DINHEIRO,3 SAP 6 F 3/8 50X30,62.19,0.51825
21498,2020-04-22 00:00:00,2860.7,2860.7,TRANSFERS BRADESCO,MINERAÇÃO CAIEIRAS,850.26,0.29722095990491837
21499,2020-04-22 00:00:00,35,35,DINHEIRO,"1 3/8 20X20 - 2,00 M ",16.68,0.4765714285714286
21500,2020-04-22 00:00:00,1452.75,1452.75,CREDITO 3 X,CARLOS ,624.0,0.42953020134228187
21501,2020-04-22 00:00:00,71.4,71.4,TRANSFER ITAU 11/05/2020,GRANICUT,31.32,0.43865546218487395
21502,2020-04-23 00:00:00,42.9,42.9,TRANSFER BRAD EM 12/06/2020,ALFA,17.4,0.40559440559440557
21503,2020-04-23 00:00:00,114.4,114.4,TRANSFER BRAD EM 12/06/2020,ALFA,68.0,0.5944055944055944
21504,2020-04-23 00:00:00,520,520,TRANSFER BRAD EM 12/06/2020,ALFA,172.0,0.33076923076923076
21505,2020-04-23 00:00:00,10,10,DINHEIRO,01 B 4.2,4.53,0.453
21506,2020-04-23 00:00:00,664.18,600,TRANSFER ITAU 22/04/2020,RONALDO - NEO BUTANTÃ,225.77,0.37628333333333336
21507,2020-04-23 00:00:00,2191.55,2000,TRANSFER ITAU 23/04/2020,WELLINGTON,790.43,0.395215
21508,2020-04-23 00:00:00,331.55,315,DINHEIRO,EDSON ,97.3,0.3088888888888889
21509,2020-04-23 00:00:00,296.1,296.1,CHEQUE,AABM,119.4,0.40324214792299895
21510,2020-04-23 00:00:00,20,20,DINHEIRO,8 METROS FERRO 5/16,9.36,0.46799999999999997
21511,2020-04-23 00:00:00,223.5,210,DINHEIRO,GIVANILDO / JOÃO,96.0,0.45714285714285713
21512,2020-04-23 00:00:00,89.4,89.4,DEBITO,FRANCISCO,38.4,0.4295302013422818
21513,2020-04-23 00:00:00,366.65,366.65,DEBITO,DENILSON,115.69,0.3155325242056457
21514,2020-04-23 00:00:00,476,476,CREDITO 3 X,CARLOS ,218.0,0.4579831932773109
21516,2020-04-23 00:00:00,84,80,DINHEIRO,28 METROS B 3/8,28.48,0.356
21517,2020-04-23 00:00:00,13,13,DINHEIRO,"4,80 METROS FERRO 5/16",6.61,0.5084615384615385
21518,2020-04-23 00:00:00,175.36,160,TRANSFER ITAU 23/04/2020,WELLINGTON,69.34,0.433375
21519,2020-04-24 00:00:00,248.1,248.1,DEBITO,SILAS,98.78,0.3981459089076985
21519,2020-04-24 00:00:00,53,53,DEBITO,02 B 5/16,19.76,0.37283018867924533
21520,2020-04-24 00:00:00,56,55,DINHEIRO,01 B 3/8 E 02 TAB DE 15CM,20.3,0.3690909090909091
21521,2020-04-24 00:00:00,283.8,280,DINHEIRO,DEPOSITO CEARA,77.4,0.27642857142857147
21522,2020-04-24 00:00:00,348.9,348.9,BOLETO 29/05/2020,ALTO DA LAPA,137.4,0.39380911435941535
21523,2020-04-24 00:00:00,370,370,TRANSFER BRAD EM 24/04,TIAGO TABORDA,275.15,0.7436486486486485
21524,2020-04-24 00:00:00,1153.88,1153.88,CHEQUE,PRIMOSUL,470.98,0.40817069365965264
21525,2020-04-25 00:00:00,271.95,260,DEBITO,SEBASTIAO,130.01,0.5000384615384615
21526,2020-04-25 00:00:00,47.8,47.8,CHEQUE,AABM,13.0,0.27196652719665276
21527,2020-04-25 00:00:00,12,12,DINHEIRO,"1 PDÇ 3/8 - 4,00M",4.64,0.38666666666666666
